"Combined.ID","Dolphin.ID","Sightings","entrydate","departdate","genotyped","Repro.ID","Age.ID","ReproCat","kin.strength","tot.strength","norm.kin"
"DEM.unknown.elder","DEM",342,1990-11-01,2024-11-30,"Y","DEM.unknown","DEM.elder","unknown",0.0886171497584541,0.464559947731822,0.190755036440658
"DOD.cyc.adult","DOD",209,2003-10-15,2024-11-30,"Y","DOD.cyc","DOD.adult","cyc",0.0161290322580645,0.319569243405723,0.0504711657673114
"DOD.juvenile.juvenile","DOD",209,2003-10-15,2024-11-30,"Y","DOD.juvenile","DOD.juvenile","juvenile",0.106010257435879,0.425350528547844,0.24923034137938
"DOD.lact.adult","DOD",209,2003-10-15,2024-11-30,"Y","DOD.lact","DOD.adult","lact",0.177334356376425,0.913345218468941,0.194159177483508
"DOD.preg.adult","DOD",209,2003-10-15,2024-11-30,"Y","DOD.preg","DOD.adult","preg",0.21025893499281,0.657802401078883,0.319638442559586
"DOD.unknown.adult","DOD",209,2003-10-15,2024-11-30,"Y","DOD.unknown","DOD.adult","unknown",0.14714803695152,0.624690787537793,0.23555339679572
"DOP.juvenile.juvenile","DOP",22,2013-11-01,2024-11-30,"Y","DOP.juvenile","DOP.juvenile","juvenile",0.431818181818182,1.32235042099006,0.326553517860171
"DOP.unknown.adult","DOP",22,2013-11-01,2024-11-30,"Y","DOP.unknown","DOP.adult","unknown",0.0666666666666667,0.854811313557444,0.0779899208273483
"DOU.juvenile.juvenile","DOU",22,2021-11-19,2024-11-30,"Y","DOU.juvenile","DOU.juvenile","juvenile",0.419357679357679,1.9855557687113,0.211204180696399
"DOY.juvenile.juvenile","DOY",23,2019-05-10,2024-11-30,"Y","DOY.juvenile","DOY.juvenile","juvenile",1.65626672240803,3.939493749675,0.420426285114595
"DUC.juvenile.juvenile","DUC",48,1997-12-22,2024-11-30,"Y","DUC.juvenile","DUC.juvenile","juvenile",0.0416666666666667,1.13572882958147,0.0366871612143731
"DUC.lact.adult","DUC",48,1997-12-22,2024-11-30,"Y","DUC.lact","DUC.adult","lact",0.0465116279069767,1.36664052302401,0.0340335495131221
"DUC.unknown.adult","DUC",48,1997-12-22,2024-11-30,"Y","DUC.unknown","DUC.adult","unknown",0.0654885654885655,1.21590126250786,0.0538601015624343
"EDE.cyc.adult","EDE",337,2007-11-19,2024-11-30,"Y","EDE.cyc","EDE.adult","cyc",0.527903006328212,1.95920700272464,0.269447284331908
"EDE.juvenile.juvenile","EDE",337,2007-11-19,2024-11-30,"Y","EDE.juvenile","EDE.juvenile","juvenile",0.862351150784865,2.18181772529589,0.39524436014375
"EDE.lact.adult","EDE",337,2007-11-19,2024-11-30,"Y","EDE.lact","EDE.adult","lact",0.472212244166865,1.34472210218428,0.351159725418236
"EDE.preg.adult","EDE",337,2007-11-19,2024-11-30,"Y","EDE.preg","EDE.adult","preg",0.987474688241289,3.0014384177741,0.329000482699762
"EDE.unknown.adult","EDE",337,2007-11-19,2024-11-30,"Y","EDE.unknown","EDE.adult","unknown",0.72844055035436,1.86419843139008,0.390752689246274
"EED.cyc.adult","EED",250,1978-11-01,2018-05-01,"Y","EED.cyc","EED.adult","cyc",0.0363636363636364,0.468583694147556,0.0776032901225657
"EED.lact.adult","EED",250,1978-11-01,2018-05-01,"Y","EED.lact","EED.adult","lact",0.0571428571428571,0.628031741266792,0.0909872119323066
"EED.lact.elder","EED",250,1978-11-01,2018-05-01,"Y","EED.lact","EED.elder","lact",0.0804059328649493,0.570905441435047,0.14083931773857
"EED.preg.adult","EED",250,1978-11-01,2018-05-01,"Y","EED.preg","EED.adult","preg",0.0526315789473684,0.440812664353243,0.119396703415019
"EED.preg.elder","EED",250,1978-11-01,2018-05-01,"Y","EED.preg","EED.elder","preg",0.0625,0.473126876432295,0.132099872387917
"EED.unknown.elder","EED",250,1978-11-01,2018-05-01,"Y","EED.unknown","EED.elder","unknown",0.243011562594429,1.92297842954013,0.12637248492306
"ENC.juvenile.juvenile","ENC",32,2010-11-01,2024-11-30,"Y","ENC.juvenile","ENC.juvenile","juvenile",0.251097308488613,0.965257797122786,0.260134970405913
"EPC.unknown.adult","EPC",13,1994-11-01,2024-11-30,"Y","EPC.unknown","EPC.adult","unknown",0.433333333333333,0.712554112554112,0.608140947752127
"ESP.cyc.elder","ESP",54,1995-11-01,2024-11-30,"Y","ESP.cyc","ESP.elder","cyc",0.0666666666666667,0.32105260846268,0.207650288175174
"ESP.unknown.adult","ESP",54,1995-11-01,2024-11-30,"Y","ESP.unknown","ESP.adult","unknown",0.166666666666667,2.20718675490895,0.0755109037764871
"FAO.unknown.adult","FAO",19,2016-02-01,2024-11-30,"Y","FAO.unknown","FAO.adult","unknown",0.123993558776167,1.42612575840685,0.0869443371632827
"FLF.juvenile.juvenile","FLF",10,2013-11-01,2024-11-30,"Y","FLF.juvenile","FLF.juvenile","juvenile",0.363636363636364,1.40024759414359,0.259694332029021
"FNT.lact.adult","FNT",67,1993-11-01,2024-11-30,"Y","FNT.lact","FNT.adult","lact",0.103174603174603,0.251322751322751,0.410526315789474
"FNT.preg.adult","FNT",67,1993-11-01,2024-11-30,"Y","FNT.preg","FNT.adult","preg",0.0869565217391304,0.502424945580359,0.173073655088295
"FNT.unknown.adult","FNT",67,1993-11-01,2024-11-30,"Y","FNT.unknown","FNT.adult","unknown",0.43011544011544,0.775790424108837,0.554422208303899
"FRL.lact.adult","FRL",64,1999-11-01,2024-11-30,"Y","FRL.lact","FRL.adult","lact",0.0571428571428571,1.092989547427,0.0522812475904978
"FRL.unknown.adult","FRL",64,1999-11-01,2024-11-30,"Y","FRL.unknown","FRL.adult","unknown",0.117649169994948,1.18202660359176,0.0995317445795672
"FSB.juvenile.juvenile","FSB",52,2011-11-01,2024-11-30,"Y","FSB.juvenile","FSB.juvenile","juvenile",0.255342101537754,1.18921815014894,0.214714265423694
"FSB.unknown.adult","FSB",52,2011-11-01,2024-11-30,"Y","FSB.unknown","FSB.adult","unknown",0.0514172709294661,1.67125201045427,0.0307657197166154
"FUF.juvenile.juvenile","FUF",205,1991-11-01,2024-11-30,"Y","FUF.juvenile","FUF.juvenile","juvenile",0.126429424816522,0.53959500109091,0.234304292220863
"FUF.unknown.adult","FUF",205,1991-11-01,2024-11-30,"Y","FUF.unknown","FUF.adult","unknown",0.477335813969352,1.91055389176108,0.249841585745253
"FUF.unknown.elder","FUF",205,1991-11-01,2024-11-30,"Y","FUF.unknown","FUF.elder","unknown",0.247243513109722,1.67844911070648,0.147304741938619
"FUT.juvenile.juvenile","FUT",261,2011-11-13,2024-11-30,"Y","FUT.juvenile","FUT.juvenile","juvenile",1.02304702577976,2.49757033488622,0.409616903071669
"FUT.lact.adult","FUT",261,2011-11-13,2024-11-30,"Y","FUT.lact","FUT.adult","lact",0.586756241048717,1.99556604090116,0.294029978974662
"FUT.unknown.adult","FUT",261,2011-11-13,2024-11-30,"Y","FUT.unknown","FUT.adult","unknown",0.683734608099154,2.01317869073963,0.339629368840554
"GAB.cyc.adult","GAB",118,1994-11-01,2024-11-30,"Y","GAB.cyc","GAB.adult","cyc",0.0163934426229508,0.341922138949966,0.0479449580927829
"GAB.juvenile.juvenile","GAB",118,1994-11-01,2024-11-30,"Y","GAB.juvenile","GAB.juvenile","juvenile",0.00793650793650794,0.445519658184442,0.0178140465649717
"GAB.lact.adult","GAB",118,1994-11-01,2024-11-30,"Y","GAB.lact","GAB.adult","lact",0.00819672131147541,0.917404582490972,0.00893468538081569
"GAB.preg.adult","GAB",118,1994-11-01,2024-11-30,"Y","GAB.preg","GAB.adult","preg",0.00793650793650794,0.693453103179605,0.0114449093963494
"GAB.unknown.adult","GAB",118,1994-11-01,2024-11-30,"Y","GAB.unknown","GAB.adult","unknown",0.050314465408805,2.20853092413795,0.0227818704546526
"GEK.juvenile.juvenile","GEK",43,2013-11-08,2024-11-30,"Y","GEK.juvenile","GEK.juvenile","juvenile",0.205042576056329,1.61857946475574,0.126680574244942
"GMP.juvenile.juvenile","GMP",115,2001-11-01,2024-11-30,"Y","GMP.juvenile","GMP.juvenile","juvenile",0.060210258043963,1.08314830379345,0.0555881940017743
"GMP.lact.adult","GMP",115,2001-11-01,2024-11-30,"Y","GMP.lact","GMP.adult","lact",0.0819672131147541,0.80741974066361,0.101517474724344
"GMP.preg.adult","GMP",115,2001-11-01,2024-11-30,"Y","GMP.preg","GMP.adult","preg",0.015625,1.29396618367827,0.012075276925386
"GMP.unknown.adult","GMP",115,2001-11-01,2024-11-30,"Y","GMP.unknown","GMP.adult","unknown",0.0204081632653061,1.00219372026781,0.020363491461364
"GOD.preg.adult","GOD",44,1986-11-01,2019-12-15,"Y","GOD.preg","GOD.adult","preg",0.201680672268908,0.321384980235411,0.627536084981876
"GOD.unknown.adult","GOD",44,1986-11-01,2019-12-15,"Y","GOD.unknown","GOD.adult","unknown",0.117647058823529,0.253744252391987,0.463644231207203
"GOD.unknown.elder","GOD",44,1986-11-01,2019-12-15,"Y","GOD.unknown","GOD.elder","unknown",0.831030565482898,1.31101290030219,0.633884354068022
"GRG.juvenile.juvenile","GRG",30,2000-10-18,2016-05-01,"Y","GRG.juvenile","GRG.juvenile","juvenile",0.0779610194902549,0.294549505455323,0.264678833426457
"GRV.unknown.elder","GRV",37,1984-11-01,2024-11-30,"Y","GRV.unknown","GRV.elder","unknown",0.42916832816954,0.642990356914684,0.667456865494616
"GUA.juvenile.juvenile","GUA",83,2010-11-01,2024-11-30,"Y","GUA.juvenile","GUA.juvenile","juvenile",0.0470653377630122,0.607749433127574,0.0774420101402754
"GUM.lact.elder","GUM",176,1976-11-01,2017-05-01,"Y","GUM.lact","GUM.elder","lact",0.0396770376943412,0.509132781110501,0.0779306286422948
"GUM.preg.adult","GUM",176,1976-11-01,2017-05-01,"Y","GUM.preg","GUM.adult","preg",0.0192307692307692,0.21934558713728,0.0876733809955038
"GUM.unknown.elder","GUM",176,1976-11-01,2017-05-01,"Y","GUM.unknown","GUM.elder","unknown",0.174397498287241,0.868955333260068,0.200697885854446
"HAT.unknown.adult","HAT",47,2002-11-01,2024-11-30,"Y","HAT.unknown","HAT.adult","unknown",0.0344827586206897,1.39308853599618,0.0247527402097466
"HFF.cyc.adult","HFF",233,2009-12-10,2024-11-30,"Y","HFF.cyc","HFF.adult","cyc",0.430669740887834,1.09693449825891,0.392612085381038
"HFF.juvenile.juvenile","HFF",233,2009-12-10,2024-11-30,"Y","HFF.juvenile","HFF.juvenile","juvenile",1.00098069492036,2.75076360371453,0.363891936613045
"HFF.lact.adult","HFF",233,2009-12-10,2024-11-30,"Y","HFF.lact","HFF.adult","lact",0.842653247511873,2.30561639204133,0.365478511698909
"HFF.preg.adult","HFF",233,2009-12-10,2024-11-30,"Y","HFF.preg","HFF.adult","preg",0.605583765105806,1.73385704587578,0.349269720099631
