"Observation.ID","Observation.Date","Dolphin.ID"
4641,"1996-08-01","ALG"
4656,"1996-08-03","ALG"
4661,"1996-08-04","ALG"
4684,"1996-08-20","ALG"
4766,"1996-09-03","ALG"
4809,"1996-09-13","ALG"
4824,"1996-09-17","ALG"
4832,"1996-09-18","ALG"
4852,"1996-09-20","ALG"
4874,"1996-10-01","ALG"
4907,"1996-10-07","ALG"
5044,"1996-12-17","ALG"
5165,"1997-04-04","ALG"
5169,"1997-04-08","ALG"
5214,"1997-04-26","ALG"
5237,"1997-05-13","ALG"
5247,"1997-05-20","ALG"
5367,"1997-07-01","ALG"
5373,"1997-07-04","ALG"
5381,"1997-07-06","ALG"
5391,"1997-07-07","ALG"
5403,"1997-07-12","ALG"
5429,"1997-07-13","ALG"
5466,"1997-07-19","ALG"
5520,"1997-07-23","ALG"
5546,"1997-07-26","ALG"
5574,"1997-07-27","ALG"
5589,"1997-07-30","ALG"
5727,"1997-08-13","ALG"
5882,"1997-10-01","ALG"
6028,"1997-11-01","ALG"
6225,"1998-04-25","ALG"
6237,"1998-05-02","ALG"
6393,"1998-05-30","ALG"
6587,"1998-07-06","ALG"
7119,"1998-09-07","ALG"
7218,"1998-10-30","ALG"
7234,"1998-11-11","ALG"
7275,"1998-12-04","ALG"
7297,"1998-12-06","ALG"
7388,"1999-02-18","ALG"
7770,"1999-06-24","ALG"
8345,"1999-10-04","ALG"
8930,"2000-09-27","ALG"
10033,"2001-09-05","ALG"
10144,"2001-09-20","ALG"
10229,"2001-10-07","ALG"
10236,"2001-10-15","ALG"
10246,"2001-10-22","ALG"
10318,"2002-03-19","ALG"
11008,"2002-07-30","ALG"
11175,"2002-08-14","ALG"
11537,"2002-10-03","ALG"
11661,"2002-10-31","ALG"
11666,"2002-11-04","ALG"
11780,"2003-01-08","ALG"
11913,"2003-03-09","ALG"
11921,"2003-03-11","ALG"
12133,"2003-04-16","ALG"
12240,"2003-05-01","ALG"
12251,"2003-05-02","ALG"
3113,"1993-03-22","ALI"
3138,"1993-04-16","ALI"
4899,"1996-10-06","ALI"
4904,"1996-10-07","ALI"
5041,"1996-12-16","ALI"
5102,"1997-01-29","ALI"
5109,"1997-02-09","ALI"
5162,"1997-04-04","ALI"
6036,"1997-11-02","ALI"
6065,"1997-12-09","ALI"
6069,"1997-12-10","ALI"
6086,"1997-12-22","ALI"
6108,"1998-01-09","ALI"
6115,"1998-01-10","ALI"
7298,"1998-12-06","ALI"
7313,"1998-12-07","ALI"
8149,"1999-08-31","ALI"
8449,"1999-11-03","ALI"
9734,"2001-08-02","ALI"
10198,"2001-09-27","ALI"
10231,"2001-10-07","ALI"
10896,"2002-07-22","ALI"
10926,"2002-07-23","ALI"
11216,"2002-08-19","ALI"
11673,"2002-11-09","ALI"
11701,"2002-11-14","ALI"
11816,"2003-02-09","ALI"
12704,"2003-08-16","ALI"
12737,"2003-08-17","ALI"
12941,"2003-09-28","ALI"
13200,"2003-12-21","ALI"
13998,"2004-08-21","ALI"
14252,"2004-09-18","ALI"
14270,"2004-09-19","ALI"
14558,"2004-10-24","ALI"
14694,"2004-11-21","ALI"
14737,"2004-12-07","ALI"
15783,"2006-07-20","ALI"
15868,"2006-08-01","ALI"
16011,"2006-08-20","ALI"
16230,"2006-11-09","ALI"
26702,"2022-04-24","ALP"
26859,"2022-06-22","ALP"
27826,"2023-06-10","ALP"
11249,"2002-08-20","ALT"
12737,"2003-08-17","ALT"
14250,"2004-09-18","ALT"
14706,"2004-11-21","ALT"
14986,"2005-07-09","ALT"
15342,"2005-10-01","ALT"
15393,"2005-10-23","ALT"
15762,"2006-07-19","ALT"
17162,"2009-09-15","ALT"
17223,"2009-10-10","ALT"
17248,"2009-10-18","ALT"
17726,"2010-10-10","ALT"
17844,"2010-12-06","ALT"
19146,"2013-09-16","ALT"
19249,"2013-10-14","ALT"
19495,"2013-11-18","ALT"
19917,"2014-09-09","ALT"
19996,"2014-09-26","ALT"
20191,"2014-11-18","ALT"
20212,"2014-11-20","ALT"
20260,"2014-12-24","ALT"
20271,"2014-12-25","ALT"
20288,"2014-12-27","ALT"
20969,"2015-08-06","ALT"
21120,"2015-08-28","ALT"
22087,"2017-05-17","ALT"
22127,"2017-05-30","ALT"
22163,"2017-05-31","ALT"
22236,"2017-06-14","ALT"
22464,"2017-10-06","ALT"
22528,"2017-10-20","ALT"
25262,"2018-09-21","ALT"
25308,"2018-10-16","ALT"
25811,"2019-09-25","ALT"
26859,"2022-06-22","ALT"
27192,"2022-10-14","ALT"
27177,"2022-11-10","ALT"
28394,"2023-11-13","ALT"
28683,"2024-06-05","ALT"
28693,"2024-06-22","ALT"
28758,"2024-07-09","ALT"
21574,"2016-05-13","ALU"
21667,"2016-06-03","ALU"
21835,"2016-08-14","ALU"
22021,"2016-10-07","ALU"
22077,"2017-05-16","ALU"
22082,"2017-05-17","ALU"
22088,"2017-05-18","ALU"
22136,"2017-05-30","ALU"
22192,"2017-06-06","ALU"
22229,"2017-06-14","ALU"
22519,"2017-10-17","ALU"
25173,"2018-08-08","ALU"
25542,"2019-05-14","ALU"
25585,"2019-05-28","ALU"
26166,"2019-07-05","ALU"
25823,"2019-07-26","ALU"
26363,"2019-12-03","ALU"
8091,"1999-08-22","ALV"
10141,"2001-09-20","ALV"
11249,"2002-08-20","ALV"
5126,"1997-02-23","AMA"
6062,"1997-12-09","AMA"
6149,"1998-01-28","AMA"
8057,"1999-08-09","AMA"
8342,"1999-10-04","AMA"
8380,"1999-10-21","AMA"
8451,"1999-11-03","AMA"
10325,"2002-03-21","AMA"
10423,"2002-05-08","AMA"
10430,"2002-05-09","AMA"
10596,"2002-06-21","AMA"
12261,"2003-05-02","AMA"
14270,"2004-09-19","AMA"
14404,"2004-10-05","AMA"
14660,"2004-11-09","AMA"
16549,"2008-06-24","AMA"
13709,"2004-07-29","AME"
17895,"2011-06-23","AME"
18371,"2012-07-07","AME"
5116,"1997-02-11","AMO"
5201,"1997-04-25","AMO"
5373,"1997-07-04","AMO"
5381,"1997-07-06","AMO"
5409,"1997-07-12","AMO"
5431,"1997-07-13","AMO"
5448,"1997-07-16","AMO"
5458,"1997-07-18","AMO"
5471,"1997-07-19","AMO"
5485,"1997-07-22","AMO"
5582,"1997-07-29","AMO"
5591,"1997-07-30","AMO"
