"Age.ID","Combined.ID","Dolphin.ID","Sightings","entrydate","departdate","genotyped","Repro.ID","AgeCat","AgeSightings","tot.strength","age.strength","norm.age","avg.tot.age.str","norm.age.indiv","ReproCat"
"IBX.elder","IBX.lact.elder","IBX",78,1980-11-01,2024-11-30,"Y","IBX.lact","elder",39,0.397514936330726,0.225449820683027,0.56714804923822,0.216757371474927,1.04010220805388,"lact"
"IND.adult","IND.cyc.adult","IND",88,1999-11-01,2024-11-30,"Y","IND.cyc","adult",39,0.723628101474401,0.503837192940707,0.696265377082693,0.361161633465734,1.3950462791572,"cyc"
"IND.juvenile","IND.juvenile.juvenile","IND",88,1999-11-01,2024-11-30,"Y","IND.juvenile","juvenile",45,0.265224844792814,0.21848607399076,0.82377680025201,0.361161633465734,0.604953720842803,"juvenile"
"ITG.juvenile","ITG.juvenile.juvenile","ITG",25,2015-10-21,2024-11-30,"Y","ITG.juvenile","juvenile",19,1.74069774840204,1.24072574625967,0.712774947516683,1.24072574625967,1,"juvenile"
"JAH.adult","JAH.lact.adult","JAH",43,2012-11-01,2024-11-30,"Y","JAH.lact","adult",17,0.448830911278536,0.232442064003819,0.517883368018674,0.603805141424864,0.384962048278192,"lact"
"JAH.juvenile","JAH.juvenile.juvenile","JAH",43,2012-11-01,2024-11-30,"Y","JAH.juvenile","juvenile",19,1.28009112887549,0.97516821884591,0.761795935342945,0.603805141424864,1.61503795172181,"juvenile"
"JAS.elder","JAS.lact.elder","JAS",216,1983-11-01,2020-05-01,"Y","JAS.lact","elder",49,0.0833333333333333,0.810613297732973,9.72735957279568,0.786510672341571,1.03064500742202,"lact"
"JMY.juvenile","JMY.juvenile.juvenile","JMY",74,2000-11-01,2024-11-30,"Y","JMY.juvenile","juvenile",39,0.963817036500892,0.815494099015625,0.84610882369983,0.729948476621938,1.11719405565387,"juvenile"
"JND.juvenile","JND.juvenile.juvenile","JND",27,2022-12-19,2024-11-30,"Y","JND.juvenile","juvenile",27,1.84726771866927,1.66754974832685,0.902711464869919,1.66754974832685,1,"juvenile"
"JNI.adult","JNI.lact.adult","JNI",61,1986-11-01,2019-05-01,"Y","JNI.lact","adult",49,0.206811594202899,0.863527775224282,4.17543212967592,0.728188420318727,1.18585760378656,"lact"
"JNI.elder","JNI.lact.elder","JNI",61,1986-11-01,2019-05-01,"Y","JNI.lact","elder",12,0.675639758828852,0.592849065413171,0.877463260067481,0.728188420318727,0.814142396213445,"lact"
"JUI.juvenile","JUI.juvenile.juvenile","JUI",111,2005-11-01,2024-11-30,"Y","JUI.juvenile","juvenile",31,0.907559554399403,0.619600154883721,0.68271018896799,1.20970740252774,0.512190099514179,"juvenile"
"JUM.adult","JUM.cyc.adult","JUM",68,1989-11-01,2024-11-30,"Y","JUM.cyc","adult",48,0.420419650051426,0.609312750517072,1.44929655510284,0.380282157256121,1.60226489434449,"cyc"
"KIT.elder","KIT.preg.elder","KIT",236,1993-11-01,2024-11-30,"Y","KIT.preg","elder",24,0.436737872109223,0.253449894531924,0.580324974584615,0.33783731797073,0.750212842246996,"preg"
"KIT.juvenile","KIT.juvenile.juvenile","KIT",236,1993-11-01,2024-11-30,"Y","KIT.juvenile","juvenile",50,0.217063022016612,0.123184070679691,0.567503711757331,0.33783731797073,0.364625410299886,"juvenile"
"KIY.adult","KIY.preg.adult","KIY",515,2001-12-13,2024-11-30,"Y","KIY.preg","adult",347,3.34104147813968,3.07888898984363,0.921535697772294,2.18075377667939,1.41184622618507,"preg"
"KIY.juvenile","KIY.juvenile.juvenile","KIY",515,2001-12-13,2024-11-30,"Y","KIY.juvenile","juvenile",168,1.64189494678541,1.28261856351515,0.781181869172769,2.18075377667939,0.588153773814933,"juvenile"
"KNG.juvenile","KNG.juvenile.juvenile","KNG",35,2000-11-01,2024-11-30,"Y","KNG.juvenile","juvenile",14,0.350818943987385,0.294989536996182,0.840859771263633,0.202528789948904,1.45653137546817,"juvenile"
"KOA.juvenile","KOA.juvenile.juvenile","KOA",33,2003-11-01,2024-11-30,"Y","KOA.juvenile","juvenile",14,0.587651226471823,0.474694633578256,0.807782936876107,0.50643775512081,0.937320783804948,"juvenile"
"LEN.juvenile","LEN.juvenile.juvenile","LEN",168,2006-02-15,2021-05-01,"Y","LEN.juvenile","juvenile",52,2.39422305005634,1.7358002235338,0.724995201885203,2.14532841220631,0.809106994368596,"juvenile"
"LIC.elder","LIC.lact.elder","LIC",630,1988-11-01,2024-11-30,"Y","LIC.lact","elder",115,1.3642174024429,1.83092582106829,1.34210707017053,1.30919808349453,1.39850939605805,"lact"
"LIC.juvenile","LIC.juvenile.juvenile","LIC",630,1988-11-01,2024-11-30,"Y","LIC.juvenile","juvenile",123,0.259367863682881,0.181393047758629,0.699365932166566,1.30919808349453,0.138552790479536,"juvenile"
