"Dolphin1","Dolphin2","IDPair","DyadML","Closekin"
"ALI","KIT","ALI.KIT",NA,"N"
"ALI","KIY","ALI.KIY",NA,"N"
"ALI","KNG","ALI.KNG",NA,"N"
"ALI","KOA","ALI.KOA",NA,"N"
"ALI","KST","ALI.KST",NA,"N"
"ALI","KWA","ALI.KWA",NA,"N"
"ALI","KWI","ALI.KWI",NA,"N"
"ALI","KYD","ALI.KYD",NA,"N"
"ALI","LAD","ALI.LAD",NA,"N"
"ALI","LAS","ALI.LAS",NA,"N"
"ALI","LAU","ALI.LAU",NA,"N"
"ALI","LDO","ALI.LDO",NA,"N"
"ALI","LEN","ALI.LEN",NA,"N"
"ALI","LEV","ALI.LEV",NA,"N"
"ALI","LIC","ALI.LIC",NA,"N"
"ALI","LIF","ALI.LIF",NA,"N"
"ALI","LIT","ALI.LIT",NA,"N"
