"Repro.ID","Dolphin.ID","Combined.ID","Sightings","entrydate","departdate","genotyped","Age.ID","repro.strength","ReproCat","norm_repro","avg.tot.repro.str","norm.repro.indiv"
"CSK.unknown","CSK","CSK.unknown.adult",66,1999-11-01,2014-05-01,"Y","CSK.adult",0.726869213247274,"unknown","",0.658173251364309,1.10437367629354
"CUR.juvenile","CUR","CUR.juvenile.juvenile",35,1987-11-01,2024-11-30,"Y","CUR.juvenile",0.0215111301369863,"juvenile","0.0312176253938047",0.00717037671232877,3
"CUR.unknown","CUR","CUR.unknown.adult",35,1987-11-01,2024-11-30,"Y","CUR.adult",0,"unknown","",0.00717037671232877,0
"CUR.unknown","CUR","CUR.unknown.elder",35,1987-11-01,2024-11-30,"Y","CUR.elder",0,"unknown","",0.00717037671232877,0
"CVO.juvenile","CVO","CVO.juvenile.juvenile",23,2014-02-01,2024-11-30,"Y","CVO.juvenile",1.09507693888499,"juvenile","1.5892099316868",0.746933277532955,1.46609740364215
"CVO.lact","CVO","CVO.lact.adult",23,2014-02-01,2024-11-30,"Y","CVO.adult",0.398789616180921,"lact","1.00092047719661",0.746933277532955,0.533902596357847
"CYR.cyc","CYR","CYR.cyc.adult",56,1993-11-01,2024-11-30,"Y","CYR.adult",0.241664912391572,"cyc","0.814521976583506",0.142803620189232,1.69228841727777
"CYR.preg","CYR","CYR.preg.adult",56,1993-11-01,2024-11-30,"Y","CYR.adult",0.329549568365358,"preg","0.721287845903668",0.142803620189232,2.30771158272223
"CYR.unknown","CYR","CYR.unknown.adult",56,1993-11-01,2024-11-30,"Y","CYR.adult",0,"unknown","",0.142803620189232,0
"CYR.unknown","CYR","CYR.unknown.elder",56,1993-11-01,2024-11-30,"Y","CYR.elder",0,"unknown","",0.142803620189232,0
"CYS.juvenile","CYS","CYS.juvenile.juvenile",23,2009-01-15,2024-11-30,"Y","CYS.juvenile",0.961167228930387,"juvenile","1.39487596897379",1.57405079695821,0.61063291654107
"CYS.lact","CYS","CYS.lact.adult",23,2009-01-15,2024-11-30,"Y","CYS.adult",1.63050468050468,"lact","4.09239723569344",1.57405079695821,1.03586535050557
"CYS.unknown","CYS","CYS.unknown.adult",23,2009-01-15,2024-11-30,"Y","CYS.adult",2.13048048143956,"unknown","",1.57405079695821,1.35350173295336
