"ID1","ID2","weight","Dolphin.ID1","Dolphin.ID2","IDPair","DyadML","Closekin","State1","State2","shared_state"
"CLO.lact","BAD.cyc",0.0161290322580645,"CLO","BAD","BAD.CLO",0,"N","lact","cyc","N"
"CLV.juvenile","BAD.lact",0.0769230769230769,"CLV","BAD","BAD.CLV",0,"N","juvenile","lact","N"
"CLV.juvenile","BAD.preg",0.024390243902439,"CLV","BAD","BAD.CLV",0,"N","juvenile","preg","N"
"COP.juvenile","BAD.lact",0.0833333333333333,"COP","BAD","BAD.COP",0.0013,"N","juvenile","lact","N"
"COP.juvenile","BAD.cyc",0.0588235294117647,"COP","BAD","BAD.COP",0.0013,"N","juvenile","cyc","N"
"CRP.juvenile","BAD.preg",0.0357142857142857,"CRP","BAD","BAD.CRP",0.0408,"N","juvenile","preg","N"
"DUC.juvenile","BAD.preg",0.0526315789473684,"DUC","BAD","BAD.DUC",0.0343,"N","juvenile","preg","N"
"DUC.juvenile","BAD.lact",0.0303030303030303,"DUC","BAD","BAD.DUC",0.0343,"N","juvenile","lact","N"
"EDE.juvenile","BAD.preg",0.00917431192660551,"EDE","BAD","BAD.EDE",0,"N","juvenile","preg","N"
"FRL.cyc","BAD.lact",0.0344827586206897,"FRL","BAD","BAD.FRL",0.1038,"N","cyc","lact","N"
"FRL.juvenile","BAD.lact",0.025,"FRL","BAD","BAD.FRL",0.1038,"N","juvenile","lact","N"
"FUF.juvenile","BAD.cyc",0.0555555555555556,"FUF","BAD","BAD.FUF",0.2849,"Y","juvenile","cyc","N"
"BAD.preg","FUF.juvenile",0.0119047619047619,"BAD","FUF","BAD.FUF",0.2849,"Y","preg","juvenile","N"
"GAB.juvenile","BAD.preg",0.0285714285714286,"GAB","BAD","BAD.GAB",0.0688,"N","juvenile","preg","N"
"GAB.juvenile","BAD.lact",0.0232558139534884,"GAB","BAD","BAD.GAB",0.0688,"N","juvenile","lact","N"
"BAD.cyc","GAB.lact",0.0212765957446809,"BAD","GAB","BAD.GAB",0.0688,"N","cyc","lact","N"
"HRS.juvenile","BAD.preg",0.02,"HRS","BAD","BAD.HRS",0,"N","juvenile","preg","N"
"LEN.juvenile","BAD.preg",0.0181818181818182,"LEN","BAD","BAD.LEN",0,"N","juvenile","preg","N"
"LIT.juvenile","BAD.cyc",0.0326086956521739,"LIT","BAD","BAD.LIT",0.0078,"N","juvenile","cyc","N"
"MOU.juvenile","BAD.preg",0.00515463917525773,"MOU","BAD","BAD.MOU",0.0542,"N","juvenile","preg","N"
"BAD.lact","MOU.juvenile",0.00515463917525773,"BAD","MOU","BAD.MOU",0.0542,"N","lact","juvenile","N"
"BAD.cyc","MOU.juvenile",0.0256410256410256,"BAD","MOU","BAD.MOU",0.0542,"N","cyc","juvenile","N"
"BAD.lact","PEG.preg",0.00763358778625954,"BAD","PEG","BAD.PEG",0,"N","lact","preg","N"
"BAD.cyc","PEG.juvenile",0.00384615384615385,"BAD","PEG","BAD.PEG",0,"N","cyc","juvenile","N"
"POL.juvenile","BAD.preg",0.0909090909090909,"POL","BAD","BAD.POL",0.4861,"Y","juvenile","preg","N"
"BAD.cyc","POL.lact",0.037037037037037,"BAD","POL","BAD.POL",0.4861,"Y","cyc","lact","N"
"POL.preg","BAD.lact",0.0263157894736842,"POL","BAD","BAD.POL",0.4861,"Y","preg","lact","N"
"BAD.lact","POL.juvenile",0.130434782608696,"BAD","POL","BAD.POL",0.4861,"Y","lact","juvenile","N"
"BAD.cyc","POL.preg",0.0294117647058824,"BAD","POL","BAD.POL",0.4861,"Y","cyc","preg","N"
"BAD.cyc","POL.juvenile",0.0222222222222222,"BAD","POL","BAD.POL",0.4861,"Y","cyc","juvenile","N"
"BAD.cyc","RHO.juvenile",0.00735294117647059,"BAD","RHO","BAD.RHO",0,"N","cyc","juvenile","N"
"BAD.lact","RIP.juvenile",0.0142857142857143,"BAD","RIP","BAD.RIP",0,"N","lact","juvenile","N"
"BAD.preg","RSO.juvenile",0.0769230769230769,"BAD","RSO","BAD.RSO",0.024,"N","preg","juvenile","N"
"SHC.preg","BAD.lact",0.015625,"SHC","BAD","BAD.SHC",0,"N","preg","lact","N"
"SKF.juvenile","BAD.cyc",0.00471698113207547,"SKF","BAD","BAD.SKF",0,"N","juvenile","cyc","N"
"BAD.preg","SKF.preg",0.0099009900990099,"BAD","SKF","BAD.SKF",0,"N","preg","preg","Y"
"SOG.juvenile","BAD.cyc",0.0116279069767442,"SOG","BAD","BAD.SOG",0,"N","juvenile","cyc","N"
"TAW.juvenile","BAD.preg",0.0869565217391304,"TAW","BAD","BAD.TAW",0.1195,"N","juvenile","preg","N"
