Pair,ID1,ID2,IDPair,DyadML
335,BIG,WAG,BIG.WAG,0.0106
336,BIG,FIA,BIG.FIA,0
337,BIG,MDH,BIG.MDH,0
338,BIG,VES,BIG.VES,0
339,BIG,FNZ,BIG.FNZ,0
340,BIG,DKY,BIG.DKY,0
341,KRI,DGR,KRI.DGR,0
342,KRI,DNG,KRI.DNG,0
343,KRI,MNV,KRI.MNV,0.0482
344,KRI,LGO,KRI.LGO,0.0277
345,KRI,PIR,KRI.PIR,0
346,KRI,VIK,KRI.VIK,0.0198
347,KRI,OPE,KRI.OPE,0
348,KRI,BLO,KRI.BLO,0.0047
349,KRI,PDR,KRI.PDR,0
350,KRI,FRY,KRI.FRY,0.0163
351,KRI,DAI,KRI.DAI,0
352,KRI,WON,KRI.WON,0
353,KRI,NAT,KRI.NAT,0
354,KRI,HRB,KRI.HRB,0.009
355,KRI,QWE,KRI.QWE,0.0024
356,KRI,GRI,KRI.GRI,0.1345
357,KRI,DUD,KRI.DUD,0
358,KRI,BMN,KRI.BMN,0
359,KRI,MAR,KRI.MAR,0
360,KRI,BLM,KRI.BLM,0.0152
361,KRI,GRA,KRI.GRA,0
362,KRI,RSP,KRI.RSP,0
363,KRI,AJA,KRI.AJA,0.056
364,KRI,FCH,KRI.FCH,0.0149
365,KRI,ORY,KRI.ORY,0.0446
366,KRI,PPE,KRI.PPE,0
367,KRI,BAI,KRI.BAI,0.022
368,KRI,PHD,KRI.PHD,0
369,KRI,PZL,KRI.PZL,0
370,KRI,RBD,KRI.RBD,0.0017
371,KRI,ENC,KRI.ENC,0
372,KRI,RDL,KRI.RDL,0
373,KRI,TDO,KRI.TDO,0
374,KRI,JAK,KRI.JAK,0
375,KRI,RSO,KRI.RSO,0
376,KRI,MED,KRI.MED,0.0254
377,KRI,PUB,KRI.PUB,0
378,KRI,BAG,KRI.BAG,0
379,KRI,BDT,KRI.BDT,0
380,KRI,COP,KRI.COP,0.0002
381,KRI,ASD,KRI.ASD,0.0134
382,KRI,PAB,KRI.PAB,0.014
383,KRI,POF,KRI.POF,0.0062
384,KRI,WZY,KRI.WZY,0.0071
385,KRI,LEN,KRI.LEN,0.0084
386,KRI,WHE,KRI.WHE,0
387,KRI,BBN,KRI.BBN,0.0085
388,KRI,SPC,KRI.SPC,0.0126
389,KRI,VBE,KRI.VBE,0
390,KRI,INI,KRI.INI,0.0054
391,KRI,SOG,KRI.SOG,0.0099
392,KRI,KIY,KRI.KIY,0
393,KRI,CEB,KRI.CEB,0
394,KRI,SHC,KRI.SHC,0.0104
395,KRI,LIC,KRI.LIC,0.0001
396,KRI,TST,KRI.TST,0.0258
397,KRI,REA,KRI.REA,0
398,KRI,BLB,KRI.BLB,0
399,KRI,URC,KRI.URC,0
